"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tpchInstance"
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.00","sample",1,1,3737.124864,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.50","sample",1,1,3797.942272,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.90","sample",1,1,3862.534554,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.95","sample",1,1,3917.479936,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.99","sample",1,1,3963.617280,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.999","sample",1,1,3963.617280,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.9999","sample",1,1,3963.617280,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p1.00","sample",1,1,3963.617280,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery","sample",1,10,113521.354342,1809.400047,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.00","sample",1,1,112474.456064,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.50","sample",1,1,113145.544704,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.90","sample",1,1,116017.804083,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.95","sample",1,1,116098.334720,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.99","sample",1,1,116098.334720,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.999","sample",1,1,116098.334720,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.9999","sample",1,1,116098.334720,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p1.00","sample",1,1,116098.334720,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery","sample",1,195,521.612787,2.202268,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.00","sample",1,1,509.083648,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.50","sample",1,1,526.385152,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.90","sample",1,1,531.103744,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.95","sample",1,1,532.152320,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.99","sample",1,1,536.912855,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.999","sample",1,1,537.919488,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.9999","sample",1,1,537.919488,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p1.00","sample",1,1,537.919488,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery","sample",1,20,5045.747712,30.403591,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.00","sample",1,1,4991.221760,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.50","sample",1,1,5066.719232,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.90","sample",1,1,5075.107840,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.95","sample",1,1,5106.984550,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.99","sample",1,1,5108.662272,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.999","sample",1,1,5108.662272,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.9999","sample",1,1,5108.662272,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p1.00","sample",1,1,5108.662272,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery","sample",1,10,115655.416218,1254.705402,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.00","sample",1,1,114085.068800,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.50","sample",1,1,115561.463808,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.90","sample",1,1,117292.872499,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.95","sample",1,1,117440.512000,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.99","sample",1,1,117440.512000,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.999","sample",1,1,117440.512000,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p0.9999","sample",1,1,117440.512000,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimd.executeQuery:executeQuery·p1.00","sample",1,1,117440.512000,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery","sample",1,194,525.655473,12.640404,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.00","sample",1,1,470.286336,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.50","sample",1,1,485.752832,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.90","sample",1,1,585.105408,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.95","sample",1,1,592.445440,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.99","sample",1,1,604.084634,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.999","sample",1,1,606.076928,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.9999","sample",1,1,606.076928,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p1.00","sample",1,1,606.076928,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery","sample",1,30,4647.848073,35.748450,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.00","sample",1,1,4563.402752,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.50","sample",1,1,4664.066048,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.90","sample",1,1,4730.336051,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.95","sample",1,1,4755.501875,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.99","sample",1,1,4764.729344,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.999","sample",1,1,4764.729344,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.9999","sample",1,1,4764.729344,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p1.00","sample",1,1,4764.729344,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery","sample",1,10,116407.035494,1012.559050,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.00","sample",1,1,115561.463808,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.50","sample",1,1,116366.770176,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.90","sample",1,1,117735.791002,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.95","sample",1,1,117843.165184,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.99","sample",1,1,117843.165184,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.999","sample",1,1,117843.165184,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p0.9999","sample",1,1,117843.165184,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
"benchmarks.tpch.q1_no_sort_hard_coded.VectorisedNonSimdReducedSelVecUse.executeQuery:executeQuery·p1.00","sample",1,1,117843.165184,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-100
